#                   T = 2.00                    
#          r [Å]            g(r)           Δg(r)
  4.55000000E+01  9.53003565E-01  7.49460678E-04
  4.57500000E+01  9.57120966E-01  8.83280442E-04
  4.60000000E+01  9.67581619E-01  8.99051034E-04
  4.62500000E+01  9.83000224E-01  8.77668924E-04
  4.65000000E+01  1.00020075E+00  7.80500871E-04
  4.67500000E+01  1.01748927E+00  7.22229895E-04
  4.70000000E+01  1.03106472E+00  6.46015616E-04
  4.72500000E+01  1.03969433E+00  6.74523396E-04
  4.75000000E+01  1.04216614E+00  7.77966616E-04
  4.77500000E+01  1.03860128E+00  8.92812465E-04
  4.80000000E+01  1.02867861E+00  9.02520255E-04
  4.82500000E+01  1.01492075E+00  8.53715894E-04
  4.85000000E+01  9.98471571E-01  8.31950745E-04
  4.87500000E+01  9.83911091E-01  6.87954354E-04
  4.90000000E+01  9.71080998E-01  6.43928697E-04
  4.92500000E+01  9.63274125E-01  7.17535957E-04
  4.95000000E+01  9.61153984E-01  7.50499095E-04
  4.97500000E+01  9.64403859E-01  8.83831621E-04
  5.00000000E+01  9.73193171E-01  9.39749082E-04
  5.02500000E+01  9.85557907E-01  9.11967823E-04
  5.05000000E+01  9.99897709E-01  8.05888842E-04
  5.07500000E+01  1.01412890E+00  7.32362318E-04
  5.10000000E+01  1.02544771E+00  6.48795212E-04
  5.12500000E+01  1.03272528E+00  6.97955232E-04
  5.15000000E+01  1.03499508E+00  7.99505573E-04
  5.17500000E+01  1.03160661E+00  8.97328328E-04
  5.20000000E+01  1.02356797E+00  9.02282602E-04
  5.22500000E+01  1.01267785E+00  8.85544872E-04
  5.25000000E+01  9.99474381E-01  8.26906429E-04
  5.27500000E+01  9.87089357E-01  7.08617931E-04
  5.30000000E+01  9.76388691E-01  6.52509982E-04
  5.32500000E+01  9.69570637E-01  7.04235801E-04
  5.35000000E+01  9.67578413E-01  7.65757580E-04
  5.37500000E+01  9.69930470E-01  8.70928677E-04
  5.40000000E+01  9.77179795E-01  9.34069207E-04
  5.42500000E+01  9.87146176E-01  8.81015291E-04
  5.45000000E+01  9.99086995E-01  8.13372579E-04
  5.47500000E+01  1.01153932E+00  7.03815912E-04
  5.50000000E+01  1.02122292E+00  6.56135388E-04
  5.52500000E+01  1.02728903E+00  6.96991247E-04
  5.55000000E+01  1.02902493E+00  8.09412512E-04
  5.57500000E+01  1.02686705E+00  8.56328283E-04
  5.60000000E+01  1.02019018E+00  9.38779379E-04
  5.62500000E+01  1.01102003E+00  8.73673297E-04
  5.65000000E+01  1.00019916E+00  8.16121948E-04
  5.67500000E+01  9.89311168E-01  7.08254037E-04
  5.70000000E+01  9.80430496E-01  6.47241944E-04
  5.72500000E+01  9.74264282E-01  6.87789003E-04
  5.75000000E+01  9.72259098E-01  8.47611482E-04
  5.77500000E+01  9.74065146E-01  9.38585107E-04
  5.80000000E+01  9.80173427E-01  9.72682551E-04
  5.82500000E+01  9.89340026E-01  9.21348136E-04
  5.85000000E+01  9.99051405E-01  7.63422682E-04
  5.87500000E+01  1.00923572E+00  6.78094723E-04
  5.90000000E+01  1.01726600E+00  6.64526327E-04
  5.92500000E+01  1.02283247E+00  7.00620767E-04
  5.95000000E+01  1.02504390E+00  8.50538454E-04
  5.97500000E+01  1.02299399E+00  8.83411943E-04
  6.00000000E+01  1.01777562E+00  9.54882701E-04
  6.02500000E+01  1.01003341E+00  9.22971623E-04
  6.05000000E+01  1.00034953E+00  7.76630445E-04
  6.07500000E+01  9.91144973E-01  6.74471829E-04
  6.10000000E+01  9.83007200E-01  6.38916514E-04
  6.12500000E+01  9.77676723E-01  6.87726557E-04
  6.15000000E+01  9.76267699E-01  8.61411987E-04
  6.17500000E+01  9.77781037E-01  9.77557158E-04
  6.20000000E+01  9.82416019E-01  9.80810463E-04
  6.22500000E+01  9.90605312E-01  9.05680712E-04
  6.25000000E+01  9.98395290E-01  8.41873020E-04
  6.27500000E+01  1.00749364E+00  6.79332726E-04
  6.30000000E+01  1.01470658E+00  6.79811829E-04
  6.32500000E+01  1.01969240E+00  7.13776635E-04
  6.35000000E+01  1.02180342E+00  8.04312670E-04
  6.37500000E+01  1.02006397E+00  9.76827381E-04
  6.40000000E+01  1.01576294E+00  9.81125933E-04
  6.42500000E+01  1.00855016E+00  9.17832749E-04
  6.45000000E+01  1.00059713E+00  7.80061203E-04
  6.47500000E+01  9.92664538E-01  6.82333203E-04
  6.50000000E+01  9.85744928E-01  6.72503732E-04
  6.52500000E+01  9.81185894E-01  7.27314883E-04
  6.55000000E+01  9.78831270E-01  9.28639900E-04
  6.57500000E+01  9.80214285E-01  1.02057520E-03
